epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,333.663,1.06552,2.78814,0.01211,0.65187,0.56,0.66153,0.46163,1.1098,3.21829,0.01228,0.000660045,0.000660045,0.000660045
43,342.104,0.98086,2.64316,0.00921,0.65187,0.56,0.66153,0.46163,1.1098,3.21829,0.01228,0.000649046,0.000649046,0.000649046
44,350.634,0.95632,2.51317,0.0088,0.65978,0.62318,0.69786,0.46959,1.0685,3.23656,0.01158,0.000638047,0.000638047,0.000638047
45,359.253,0.88742,2.67273,0.00857,0.65978,0.62318,0.69786,0.46959,1.0685,3.23656,0.01158,0.000627048,0.000627048,0.000627048
46,367.735,0.9096,2.59402,0.00874,0.74266,0.60699,0.70534,0.46278,1.18082,3.16415,0.01288,0.000616049,0.000616049,0.000616049
47,376.193,1.03582,2.48713,0.00936,0.74266,0.60699,0.70534,0.46278,1.18082,3.16415,0.01288,0.000605051,0.000605051,0.000605051
48,385.03,1.00218,2.39586,0.0089,0.59993,0.6,0.71149,0.43406,1.17433,3.16599,0.01242,0.000594052,0.000594052,0.000594052
49,393.341,0.88003,2.42362,0.00844,0.46471,0.7457,0.68662,0.43546,1.21114,3.0319,0.01214,0.000583053,0.000583053,0.000583053
50,401.663,0.98755,2.47365,0.00946,0.46471,0.7457,0.68662,0.43546,1.21114,3.0319,0.01214,0.000572054,0.000572054,0.000572054
51,410.164,1.05725,2.39678,0.00905,0.53278,0.60621,0.67755,0.42496,1.1676,3.04098,0.01132,0.000561055,0.000561055,0.000561055
52,418.997,1.0082,2.50022,0.00869,0.53278,0.60621,0.67755,0.42496,1.1676,3.04098,0.01132,0.000550056,0.000550056,0.000550056
53,427.353,0.85024,2.38095,0.00756,0.62177,0.64898,0.69098,0.43907,1.16646,3.02765,0.01133,0.000539057,0.000539057,0.000539057
54,433.498,0.9,2.53473,0.01005,0.62177,0.64898,0.69098,0.43907,1.16646,3.02765,0.01133,0.000528058,0.000528058,0.000528058
55,439.667,0.86854,2.28085,0.00814,0.66011,0.67681,0.70762,0.47178,1.17724,2.98002,0.01237,0.000517059,0.000517059,0.000517059
56,447.822,0.99026,2.38636,0.0085,0.58968,0.73867,0.74072,0.4893,1.16799,2.9583,0.01265,0.00050606,0.00050606,0.00050606
57,456.101,0.87922,2.57529,0.00812,0.58968,0.73867,0.74072,0.4893,1.16799,2.9583,0.01265,0.000495062,0.000495062,0.000495062
58,464.774,0.89108,2.42135,0.00734,0.52814,0.66684,0.76513,0.52151,1.16713,2.90719,0.01261,0.000484063,0.000484063,0.000484063
59,473.37,0.84822,2.2794,0.00861,0.52814,0.66684,0.76513,0.52151,1.16713,2.90719,0.01261,0.000473064,0.000473064,0.000473064
60,482.031,0.98102,2.2805,0.0078,0.89211,0.55692,0.74522,0.52418,1.08095,2.8889,0.01182,0.000462065,0.000462065,0.000462065
61,490.706,0.91766,2.24806,0.00758,0.89211,0.55692,0.74522,0.52418,1.08095,2.8889,0.01182,0.000451066,0.000451066,0.000451066
62,499.152,0.93739,2.24684,0.00865,0.85466,0.56729,0.73288,0.53216,1.02264,2.85634,0.01033,0.000440067,0.000440067,0.000440067
63,507.54,0.97189,2.43175,0.0083,0.74934,0.62706,0.72978,0.52213,1.03107,2.85568,0.01018,0.000429068,0.000429068,0.000429068
64,515.367,0.86571,2.19046,0.00724,0.74934,0.62706,0.72978,0.52213,1.03107,2.85568,0.01018,0.000418069,0.000418069,0.000418069
65,521.457,0.88913,2.20012,0.00715,0.47912,0.73713,0.73333,0.52637,1.04123,2.85157,0.01026,0.00040707,0.00040707,0.00040707
66,527.421,0.89868,2.15681,0.00696,0.47912,0.73713,0.73333,0.52637,1.04123,2.85157,0.01026,0.000396071,0.000396071,0.000396071
67,533.354,0.95108,2.27338,0.00709,0.51903,0.78063,0.72984,0.5154,1.03149,2.83834,0.01009,0.000385073,0.000385073,0.000385073
68,539.197,0.79659,2.20886,0.00667,0.51903,0.78063,0.72984,0.5154,1.03149,2.83834,0.01009,0.000374074,0.000374074,0.000374074
