epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,2426.7,0.78449,0.69137,0.01837,0.82073,1,0.97,0.79961,0.81966,0.75459,0.02185,0.000973861,0.000973861,0.000973861
44,2485.71,0.75961,0.69126,0.01688,0.82768,0.99105,0.995,0.85878,0.69743,0.68977,0.01796,0.000957358,0.000957358,0.000957358
45,2545.05,0.73311,0.67824,0.01542,0.97666,1,0.995,0.86351,0.68336,0.32329,0.01709,0.000940855,0.000940855,0.000940855
46,2604.5,0.68702,0.66367,0.01481,0.98209,0.79178,0.995,0.90944,0.53832,0.49392,0.01191,0.000924352,0.000924352,0.000924352
47,2664.81,0.80205,0.7113,0.01503,0.8833,0.99402,0.995,0.91281,0.43525,0.3244,0.00976,0.000907848,0.000907848,0.000907848
48,2726.57,0.77389,0.79593,0.01541,0.9359,1,0.995,0.9302,0.42462,0.35641,0.00986,0.000891345,0.000891345,0.000891345
49,2786.4,0.68957,0.65159,0.01323,0.96056,1,0.995,0.91999,0.41397,0.31152,0.00975,0.000874842,0.000874842,0.000874842
50,2846.14,0.76301,0.7135,0.01364,0.97226,0.98281,0.995,0.90124,0.50558,0.31057,0.01224,0.000858338,0.000858338,0.000858338
51,2897.82,0.74204,0.66579,0.01679,0.9829,0.99001,0.995,0.8745,0.65826,0.31497,0.01684,0.000841835,0.000841835,0.000841835
52,2945.47,0.73792,0.64404,0.0156,0.85051,1,0.97,0.90775,0.47146,0.3885,0.01176,0.000825332,0.000825332,0.000825332
53,2995.82,0.70941,0.60956,0.0136,0.84327,0.93864,0.97,0.8895,0.44166,0.5177,0.01065,0.000808828,0.000808828,0.000808828
54,3043.76,0.71763,0.83416,0.01385,0.98652,0.99679,0.995,0.87458,0.61306,0.26173,0.01517,0.000792325,0.000792325,0.000792325
55,3090.98,0.66714,0.62583,0.01296,0.98683,1,0.995,0.87356,0.67564,0.25791,0.01688,0.000775822,0.000775822,0.000775822
56,3138.93,0.71886,0.64819,0.01439,0.97643,1,0.995,0.86233,0.65094,0.26941,0.01629,0.000759318,0.000759318,0.000759318
57,3187.04,0.63046,0.49587,0.01433,0.93212,0.99159,0.995,0.91301,0.47695,0.28402,0.01198,0.000742815,0.000742815,0.000742815
58,3234.63,0.66403,0.53299,0.01239,0.93597,0.99107,0.995,0.90437,0.48796,0.29761,0.01209,0.000726312,0.000726312,0.000726312
59,3282.4,0.60456,0.57949,0.01285,0.75343,0.96114,0.945,0.86385,0.46813,0.75568,0.01123,0.000709809,0.000709809,0.000709809
60,3330.53,0.59496,0.5826,0.01174,0.72985,0.95232,0.945,0.86265,0.46999,0.88383,0.01139,0.000693305,0.000693305,0.000693305
61,3378.62,0.67371,0.60422,0.0124,0.8101,1,0.995,0.91706,0.43868,0.44789,0.01076,0.000676802,0.000676802,0.000676802
62,3426.47,0.54818,0.38624,0.01099,0.98786,1,0.995,0.91781,0.46181,0.1833,0.01164,0.000660299,0.000660299,0.000660299
63,3474.31,0.57456,0.60794,0.01194,0.9502,0.99272,0.995,0.914,0.43642,0.22443,0.01057,0.000643795,0.000643795,0.000643795
64,3522.53,0.59955,0.46389,0.01178,0.98723,1,0.995,0.93275,0.4245,0.18654,0.0103,0.000627292,0.000627292,0.000627292
65,3571.21,0.51667,0.50923,0.01039,0.72524,0.97248,0.97,0.91521,0.36097,1.12407,0.00845,0.000610789,0.000610789,0.000610789
66,3618.76,0.61272,0.60479,0.01081,0.72689,0.87403,0.945,0.92216,0.31195,1.31619,0.00719,0.000594286,0.000594286,0.000594286
67,3666.31,0.603,0.59364,0.01221,0.92421,0.98805,0.995,0.95227,0.34148,0.21717,0.00818,0.000577782,0.000577782,0.000577782
68,3723.26,0.56161,0.52172,0.01129,0.98177,1,0.995,0.95958,0.33463,0.14774,0.00789,0.000561279,0.000561279,0.000561279
69,3782.54,0.63527,0.51596,0.01236,0.98918,1,0.995,0.94831,0.33423,0.13936,0.00761,0.000544776,0.000544776,0.000544776
70,3839.17,0.59034,0.44622,0.01189,0.98671,1,0.995,0.92025,0.38928,0.16575,0.00902,0.000528272,0.000528272,0.000528272
71,3898.4,0.5299,0.34487,0.01271,0.98203,1,0.995,0.942,0.40305,0.21196,0.00927,0.000511769,0.000511769,0.000511769
72,3957.1,0.57854,0.4789,0.01105,0.97804,1,0.995,0.92438,0.37912,0.24294,0.00887,0.000495266,0.000495266,0.000495266
73,4018.43,0.6173,0.58418,0.01086,0.92952,1,0.995,0.96175,0.33661,0.35618,0.00817,0.000478762,0.000478762,0.000478762
74,4077.31,0.611,0.5366,0.01242,0.76921,0.99932,0.995,0.9529,0.34903,0.5605,0.00834,0.000462259,0.000462259,0.000462259
75,4135.99,0.51876,0.52734,0.00974,0.98009,1,0.995,0.94025,0.36093,0.31576,0.00883,0.000445756,0.000445756,0.000445756
76,4194.38,0.54736,0.4433,0.01055,0.96825,1,0.995,0.95925,0.36994,0.3002,0.0091,0.000429253,0.000429253,0.000429253
77,4252.97,0.59852,0.5649,0.01025,0.98037,1,0.995,0.93667,0.38157,0.28955,0.00919,0.000412749,0.000412749,0.000412749
78,4312.57,0.59411,0.4774,0.01082,0.96759,1,0.995,0.93412,0.36575,0.29245,0.00902,0.000396246,0.000396246,0.000396246
79,4371.7,0.57512,0.50125,0.01007,0.83332,0.99215,0.995,0.94843,0.34625,0.43937,0.00851,0.000379743,0.000379743,0.000379743
80,4431.26,0.46044,0.37228,0.00929,0.96676,0.99502,0.995,0.92913,0.39551,0.34164,0.00964,0.000363239,0.000363239,0.000363239
81,4491.15,0.55536,0.54441,0.01008,0.97993,1,0.995,0.92956,0.38023,0.30108,0.00938,0.000346736,0.000346736,0.000346736
82,4550.6,0.51907,0.47717,0.01029,0.98656,1,0.995,0.93065,0.37499,0.22894,0.00911,0.000330233,0.000330233,0.000330233
83,4609.98,0.47618,0.39291,0.0101,0.98714,1,0.995,0.92025,0.3425,0.19896,0.00803,0.000313729,0.000313729,0.000313729
84,4669.43,0.54875,0.45628,0.00991,0.98778,1,0.995,0.92121,0.33622,0.20084,0.00793,0.000297226,0.000297226,0.000297226
85,4728.88,0.52819,0.44231,0.00941,0.9836,1,0.995,0.93888,0.33981,0.21734,0.00817,0.000280723,0.000280723,0.000280723
86,4788.69,0.5639,0.43445,0.00949,0.97422,1,0.995,0.93888,0.35229,0.20899,0.00856,0.00026422,0.00026422,0.00026422
87,4848.61,0.45179,0.47974,0.00875,0.97014,1,0.995,0.93888,0.34696,0.1922,0.00827,0.000247716,0.000247716,0.000247716
88,4908.15,0.55263,0.41517,0.00968,0.97463,1,0.995,0.942,0.34649,0.17478,0.00815,0.000231213,0.000231213,0.000231213
89,4964.96,0.49487,0.34473,0.00881,0.98832,1,0.995,0.94513,0.35776,0.1568,0.00844,0.00021471,0.00021471,0.00021471
90,5024.89,0.47206,0.37755,0.00885,0.98922,1,0.995,0.96688,0.35084,0.15441,0.00826,0.000198206,0.000198206,0.000198206
91,5083.82,0.30892,0.30211,0.00929,0.9857,1,0.995,0.96375,0.32946,0.15002,0.00777,0.000181703,0.000181703,0.000181703
92,5131.23,0.29917,0.19313,0.00898,0.98418,1,0.995,0.96375,0.3187,0.14888,0.00738,0.0001652,0.0001652,0.0001652
93,5178.54,0.31327,0.18162,0.00936,0.98396,1,0.995,0.93177,0.32546,0.15136,0.00747,0.000148696,0.000148696,0.000148696
94,5226,0.30677,0.2279,0.00916,0.98268,1,0.995,0.91279,0.3468,0.1608,0.00802,0.000132193,0.000132193,0.000132193
95,5273.21,0.32039,0.24271,0.00961,0.98216,1,0.995,0.92438,0.35626,0.16466,0.00832,0.00011569,0.00011569,0.00011569
96,5320.89,0.2963,0.31577,0.0085,0.98205,1,0.995,0.94513,0.36218,0.16806,0.00857,9.91865e-05,9.91865e-05,9.91865e-05
97,5368.36,0.31108,0.20208,0.00925,0.98386,1,0.995,0.94513,0.35393,0.16183,0.00846,8.26832e-05,8.26832e-05,8.26832e-05
98,5418.47,0.29824,0.22004,0.00885,0.98483,1,0.995,0.96069,0.34513,0.15773,0.00824,6.61799e-05,6.61799e-05,6.61799e-05
99,5466.22,0.29944,0.22559,0.00885,0.98673,1,0.995,0.943,0.33168,0.15251,0.00786,4.96766e-05,4.96766e-05,4.96766e-05
100,5513.97,0.30081,0.19607,0.00903,0.9873,1,0.995,0.943,0.32639,0.15001,0.00771,3.31733e-05,3.31733e-05,3.31733e-05
