epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,348.231,0.62467,0.4869,0.02126,0.00431,0.98757,0.98942,0.99485,0.8746,0.52844,0.39089,0.01289,0.00121,0.000477412,0.000477412,0.000477412
38,357.073,0.59451,0.46496,0.01989,0.00312,0.9921,0.98702,0.99485,0.87105,0.55851,0.42938,0.01356,0.00109,0.000467959,0.000467959,0.000467959
39,365.619,0.60293,0.47159,0.0172,0.00329,0.9927,0.98702,0.99485,0.87123,0.55657,0.39986,0.01345,0.001,0.000458377,0.000458377,0.000458377
40,374.361,0.59939,0.47316,0.01743,0.00278,0.9913,0.98769,0.9947,0.86653,0.55599,0.3693,0.01303,0.00111,0.000448674,0.000448674,0.000448674
41,382.964,0.5917,0.4513,0.01846,0.00307,0.9942,0.98962,0.99485,0.87654,0.53552,0.39133,0.01269,0.00123,0.000438862,0.000438862,0.000438862
42,391.624,0.60751,0.45894,0.01942,0.00312,0.98772,0.99058,0.99485,0.87162,0.58066,0.39238,0.01343,0.0014,0.000428948,0.000428948,0.000428948
43,400.363,0.58897,0.43775,0.01718,0.00319,0.98691,0.99536,0.995,0.87275,0.53735,0.36038,0.01325,0.00157,0.000418944,0.000418944,0.000418944
44,409.344,0.58997,0.42465,0.01983,0.00305,0.99225,0.98855,0.995,0.87332,0.58135,0.36519,0.01291,0.00116,0.000408858,0.000408858,0.000408858
45,417.959,0.59436,0.42137,0.01987,0.00272,0.98901,0.99514,0.99485,0.87473,0.55453,0.37365,0.0134,0.00116,0.000398702,0.000398702,0.000398702
46,426.547,0.60061,0.42257,0.0208,0.00288,0.99212,0.99122,0.9947,0.86991,0.55497,0.35262,0.01355,0.00107,0.000388484,0.000388484,0.000388484
47,435.01,0.57875,0.40399,0.01636,0.00262,0.98743,0.99216,0.99485,0.87683,0.55994,0.38079,0.01298,0.00146,0.000378216,0.000378216,0.000378216
48,443.688,0.59672,0.42785,0.01703,0.00307,0.99082,0.99141,0.99485,0.87644,0.53544,0.34808,0.01287,0.00107,0.000367906,0.000367906,0.000367906
49,455.116,0.58624,0.42925,0.01928,0.00301,0.98842,0.99238,0.99485,0.87182,0.54952,0.33908,0.01219,0.00104,0.000357566,0.000357566,0.000357566
50,466.228,0.55267,0.40021,0.01714,0.00266,0.9886,0.99253,0.99485,0.88529,0.50501,0.32314,0.01227,0.00093,0.000347206,0.000347206,0.000347206
51,482.699,0.56654,0.39325,0.01696,0.00295,0.9912,0.98799,0.99485,0.88644,0.49996,0.33311,0.01214,0.00087,0.000336835,0.000336835,0.000336835
52,498.423,0.55517,0.39689,0.01708,0.00256,0.99019,0.98803,0.99485,0.8847,0.49553,0.35692,0.01234,0.00094,0.000326464,0.000326464,0.000326464
