epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,185.377,1.31574,0.52817,0.73364,0.0423,0.18889,0.97287,0.96875,0.965,0.71809,0.97287,0.96875,0.965,0.90872,0.9251,0.46219,0.3518,0.03758,0,0.00161678,0.00161678,0.00161678
31,192.065,1.24832,0.62669,0.68335,0.03969,0.23097,0.99767,0.96875,0.965,0.58877,0.99767,0.96875,0.965,0.93965,2.10073,0.48515,0.60651,0.09952,0,0.00159191,0.00159191,0.00159191
32,198.786,1.207,0.50816,0.64896,0.03875,0.33898,0.99749,0.96875,0.965,0.63472,0.99749,0.96875,0.965,0.84219,1.54726,0.91327,0.60827,0.06961,0,0.00156646,0.00156646,0.00156646
33,205.491,1.23758,0.50059,0.71968,0.0375,0.29168,0.99564,0.96875,0.965,0.56571,0.99564,0.96875,0.965,0.84733,1.73833,1.1087,0.63164,0.07828,0,0.00154047,0.00154047,0.00154047
34,212.163,1.09753,0.53997,0.69792,0.03478,0.26827,0.9979,0.96875,0.965,0.69149,0.9979,0.96875,0.965,0.90677,1.18259,0.60194,0.48744,0.0507,0,0.00151395,0.00151395,0.00151395
35,218.871,1.09383,0.47316,0.57104,0.03553,0.19483,0.99786,0.96875,0.965,0.61498,0.99786,0.96875,0.965,0.94134,1.74921,0.44468,0.56484,0.07819,0,0.00148694,0.00148694,0.00148694
36,225.606,1.07457,0.35193,0.47444,0.03472,0.17163,0.99794,0.96875,0.965,0.67202,0.99794,0.96875,0.965,0.92173,1.48845,0.65778,0.42177,0.06524,0,0.00145945,0.00145945,0.00145945
37,232.441,0.99405,0.3249,0.57274,0.03095,0.17417,0.99797,0.96875,0.965,0.62921,0.99797,0.96875,0.965,0.81782,1.38703,0.60639,0.49399,0.05919,0,0.00143152,0.00143152,0.00143152
38,239.186,1.00422,0.41454,0.48173,0.03011,0.15897,0.99801,0.96875,0.965,0.74916,0.99801,0.96875,0.965,0.87878,1.11732,0.55178,0.43895,0.04545,0,0.00140318,0.00140318,0.00140318
39,245.872,1.11392,0.40961,0.51425,0.03441,0.18132,0.99803,0.96875,0.965,0.82294,0.99803,0.96875,0.965,0.91803,0.88208,0.62833,0.47505,0.03477,0,0.00137444,0.00137444,0.00137444
40,252.821,1.10268,0.36929,0.50523,0.03529,0.1878,0.99796,0.96875,0.965,0.67288,0.99796,0.96875,0.965,0.91443,1.30921,0.70242,0.42743,0.05687,0,0.00134535,0.00134535,0.00134535
41,259.746,1.07182,0.37525,0.48343,0.0343,0.15081,0.99773,0.96875,0.965,0.77768,0.99773,0.96875,0.965,0.91445,1.31889,0.82684,0.39962,0.05713,0,0.00131593,0.00131593,0.00131593
42,266.599,1.03356,0.41153,0.45412,0.03162,0.19262,0.99765,0.96875,0.965,0.69253,0.99765,0.96875,0.965,0.89684,1.55037,0.78544,0.41092,0.06864,0,0.0012862,0.0012862,0.0012862
43,273.11,0.87013,0.31776,0.37288,0.02764,0.14288,0.99793,0.96875,0.965,0.71136,0.99793,0.96875,0.965,0.89108,1.01355,1.0608,0.37204,0.04189,0,0.0012562,0.0012562,0.0012562
44,279.77,0.90488,0.46453,0.47857,0.0266,0.17437,0.99819,0.96875,0.965,0.69471,0.99819,0.96875,0.965,0.88233,0.96555,1.2153,0.31339,0.03955,0,0.00122596,0.00122596,0.00122596
45,286.38,1.02524,0.35265,0.51281,0.032,0.16531,0.99817,0.96875,0.965,0.70923,0.99817,0.96875,0.965,0.88483,0.96832,0.88264,0.33881,0.04014,0,0.00119551,0.00119551,0.00119551
46,292.956,1.05434,0.41201,0.47852,0.03083,0.17705,0.99811,0.96875,0.965,0.7612,0.99811,0.96875,0.965,0.91004,0.92147,0.60604,0.30173,0.03802,0,0.00116487,0.00116487,0.00116487
47,299.54,0.94413,0.35937,0.46098,0.02753,0.14869,0.99803,0.96875,0.965,0.7875,0.99803,0.96875,0.965,0.9322,0.82267,0.46547,0.26,0.03355,0,0.00113408,0.00113408,0.00113408
