epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2826.46,0.86777,0.51456,0.00649,0.91351,0.96924,0.98582,0.7295,0.95083,0.60424,0.00712,0.000396265,0.000396265,0.000396265
43,2892.74,0.85911,0.53988,0.00637,0.90771,0.95507,0.98808,0.69976,1.0625,0.62474,0.00792,0.000389661,0.000389661,0.000389661
44,2959.72,0.88574,0.58474,0.00628,0.9184,0.96321,0.9891,0.71609,0.99169,0.58901,0.00731,0.000383058,0.000383058,0.000383058
45,3026.76,0.87945,0.54866,0.00629,0.93069,0.96584,0.98638,0.74351,0.91457,0.55776,0.00679,0.000376455,0.000376455,0.000376455
46,3093.5,0.83642,0.54396,0.00622,0.94506,0.94456,0.98965,0.72193,1.00455,0.53511,0.0071,0.000369851,0.000369851,0.000369851
47,3160.64,0.8796,0.51631,0.00647,0.95665,0.94721,0.98182,0.71468,1.03209,0.52666,0.00784,0.000363248,0.000363248,0.000363248
48,3227.13,0.85631,0.52115,0.00628,0.9401,0.98067,0.98901,0.73881,0.94494,0.49398,0.00664,0.000356645,0.000356645,0.000356645
49,3294.67,0.8309,0.50053,0.00607,0.9423,0.97748,0.98942,0.69782,1.04235,0.56994,0.00716,0.000350042,0.000350042,0.000350042
50,3360.97,0.83018,0.49744,0.00612,0.93725,0.96038,0.98945,0.68357,1.10195,0.59902,0.00774,0.000343438,0.000343438,0.000343438
51,3428.02,0.83034,0.49004,0.00598,0.951,0.90389,0.98392,0.69035,1.08685,0.59867,0.00769,0.000336835,0.000336835,0.000336835
52,3495.09,0.82668,0.47878,0.00606,0.95348,0.92356,0.98629,0.70552,1.02367,0.56853,0.00731,0.000330232,0.000330232,0.000330232
53,3562.09,0.8585,0.52891,0.00604,0.9652,0.95519,0.98901,0.67578,1.12334,0.59327,0.00727,0.000323628,0.000323628,0.000323628
54,3631.3,0.86646,0.51086,0.00626,0.95984,0.95168,0.9904,0.69663,1.06607,0.57448,0.00768,0.000317025,0.000317025,0.000317025
55,3698.68,0.81406,0.47412,0.00592,0.94976,0.94193,0.98941,0.72919,0.97592,0.53458,0.00745,0.000310422,0.000310422,0.000310422
56,3765.26,0.83458,0.49103,0.00592,0.92934,0.97379,0.99101,0.70567,1.04319,0.54246,0.00726,0.000303818,0.000303818,0.000303818
57,3831.81,0.82034,0.46792,0.0058,0.95943,0.95588,0.98802,0.72113,0.99289,0.56997,0.00698,0.000297215,0.000297215,0.000297215
58,3898.07,0.83305,0.46179,0.00585,0.94429,0.93542,0.98198,0.74357,0.91535,0.53174,0.00661,0.000290612,0.000290612,0.000290612
59,3964.66,0.82628,0.48531,0.00591,0.96502,0.9267,0.98916,0.74619,0.9416,0.53747,0.0069,0.000284009,0.000284009,0.000284009
60,4031.89,0.81538,0.48156,0.00588,0.9637,0.93998,0.99116,0.71765,1.00788,0.59154,0.00727,0.000277405,0.000277405,0.000277405
61,4098.94,0.83628,0.50428,0.00583,0.9485,0.93431,0.98665,0.71907,1.01064,0.61563,0.00768,0.000270802,0.000270802,0.000270802
62,4165.84,0.8358,0.47781,0.00622,0.9521,0.93543,0.98494,0.74968,0.9159,0.58185,0.00696,0.000264199,0.000264199,0.000264199
63,4232.33,0.84006,0.47444,0.00576,0.93878,0.9591,0.99041,0.73841,0.94934,0.59753,0.00685,0.000257595,0.000257595,0.000257595
64,4298.59,0.80102,0.47263,0.00564,0.96816,0.96838,0.99184,0.72823,0.98817,0.5953,0.00676,0.000250992,0.000250992,0.000250992
65,4365.16,0.80664,0.46583,0.00566,0.96826,0.97661,0.99432,0.71592,1.04829,0.57536,0.00721,0.000244389,0.000244389,0.000244389
66,4431.52,0.79697,0.42765,0.00559,0.92645,0.9755,0.99238,0.75089,0.92552,0.55831,0.00663,0.000237785,0.000237785,0.000237785
67,4498.22,0.77696,0.43154,0.00555,0.93562,0.958,0.99238,0.76127,0.88826,0.54427,0.0064,0.000231182,0.000231182,0.000231182
68,4565.47,0.79714,0.44897,0.00567,0.93946,0.95508,0.9918,0.74986,0.90324,0.53184,0.00673,0.000224579,0.000224579,0.000224579
69,4631.9,0.79462,0.46626,0.00559,0.94176,0.94749,0.99238,0.721,1.01089,0.55462,0.0069,0.000217976,0.000217976,0.000217976
70,4698.51,0.82838,0.49074,0.00569,0.95619,0.9231,0.99124,0.72348,1.00264,0.56794,0.00693,0.000211372,0.000211372,0.000211372
71,4764.74,0.75733,0.4306,0.00538,0.90897,0.9817,0.98931,0.74576,0.91621,0.52178,0.00644,0.000204769,0.000204769,0.000204769
72,4831.12,0.7499,0.43789,0.00543,0.93943,0.94468,0.98901,0.74401,0.93477,0.49946,0.00679,0.000198166,0.000198166,0.000198166
73,4899.43,0.77553,0.42661,0.0053,0.94597,0.9773,0.99062,0.74263,0.97329,0.48404,0.00693,0.000191562,0.000191562,0.000191562
74,4970.46,0.73968,0.41941,0.00543,0.95433,0.97241,0.99213,0.73894,0.98572,0.47968,0.00678,0.000184959,0.000184959,0.000184959
75,5032.92,0.77124,0.4307,0.00536,0.96331,0.97124,0.993,0.74365,0.96537,0.46219,0.00647,0.000178356,0.000178356,0.000178356
76,5094.28,0.75725,0.40062,0.00536,0.96598,0.95104,0.99149,0.74376,0.98029,0.47313,0.00701,0.000171752,0.000171752,0.000171752
77,5155.63,0.75155,0.41744,0.00542,0.9529,0.95316,0.98852,0.74117,0.96822,0.49047,0.00695,0.000165149,0.000165149,0.000165149
78,5216.96,0.76851,0.42559,0.00539,0.94666,0.97689,0.98661,0.75528,0.93772,0.48782,0.00679,0.000158546,0.000158546,0.000158546
79,5278.16,0.76814,0.42206,0.0057,0.94706,0.97641,0.98951,0.75398,0.94557,0.4669,0.00668,0.000151943,0.000151943,0.000151943
80,5339.1,0.76677,0.41767,0.00572,0.96307,0.96791,0.98901,0.72695,1.01012,0.47145,0.00721,0.000145339,0.000145339,0.000145339
81,5399.7,0.77938,0.41882,0.00571,0.95678,0.96523,0.98951,0.7301,1.00704,0.46467,0.00729,0.000138736,0.000138736,0.000138736
82,5461.11,0.7745,0.43329,0.00544,0.9638,0.97062,0.98897,0.76192,0.92537,0.45481,0.00681,0.000132133,0.000132133,0.000132133
83,5521.95,0.73616,0.40522,0.00531,0.96094,0.96734,0.98721,0.76435,0.89539,0.46153,0.00667,0.000125529,0.000125529,0.000125529
84,5582.9,0.75492,0.40803,0.00549,0.95742,0.97154,0.99281,0.77732,0.87439,0.45355,0.00648,0.000118926,0.000118926,0.000118926
85,5643.64,0.73546,0.40169,0.00502,0.95507,0.97084,0.99349,0.75359,0.92382,0.47689,0.00649,0.000112323,0.000112323,0.000112323
